#,INZ,,,,,,,,,,,,,,,,,,,,
#,INZ,BS-1,ISDB-S,,,xxx[kHz](),hex,,,,,,,,,hex,hex,mpeg2/avc,hex,mpeg-audio/ac3/aac/heaac,23.97/24/25/29.97/30/47.94/48/50/59.94/60
#,INZ,[No],[input/standard],,,[Frequency],[TS-ID],,,,,,,,,[PCR-PID],[VIDEO-PID],[VIDEO-CO],[AUDIO-PID],[AUDIO-CO],[FRAMERATE]
,INZ,BS-1-151,ISDB-S,151,,1049480,0x4010,,,,,,,,,0x0120,0x0100,mpeg2,0x0110,aac,29.97
,INZ,BS-1-152,ISDB-S,152,,1049480,0x4010,,,,,,,,,0x0120,0x0100,mpeg2,0x0114,aac,29.97
,INZ,BS-1-161,ISDB-S,161,,1049480,0x4011,,,,,,,,0x00A1,0x0130,0x0111,mpeg2,0x0114,aac,29.97
,INZ,BS-1-162,ISDB-S,162,,1049480,0x4011,,,,,,,,0x00A2,0x0130,0x0111,mpeg2,0x0114,aac,29.97
,INZ,BS-1-165,ISDB-S,165,,1049480,0x4011,,,,,,,,0x00A5,0x01FF,0x0300,mpeg2,0x0310,aac,29.97
#,INZ,740,ISDB-S,,,1049480,0x4011,,,,,,,,0x02E4,0x0130,,,,,
#,INZ,,,,,,,,,,,,,,,,,,,,
#,INZ,BS-9,ISDB-S,,,xxx[kHz](),hex,,,,,,,,,hex,hex,mpeg2/avc,hex,mpeg-audio/ac3/aac/heaac,23.97/24/25/29.97/30/47.94/48/50/59.94/60
#,INZ,[No],[input/standard],,,[Frequency],[TS-ID],,,,,,,,,[PCR-PID],[VIDEO-PID],[VIDEO-CO],[AUDIO-PID],[AUDIO-CO],[FRAMERATE]
,INZ,BS-9-200,ISDB-S,200,,1202920,0x4090,,,,,,,,0x00C8,0x111,0x140,mpeg2,0x141,aac,29.97
,INZ,BS-9-211,ISDB-S,211,,1202920,0x4091,,,,,,,,,0x111,0x140,mpeg2,0x141,aac,29.97
#,INZ,,,,,,,,,,,,,,,,,,,,
#,INZ,BS-15,ISDB-S,,,xxx[kHz](),hex,,,,,,,,,hex,hex,mpeg2/avc,hex,mpeg-audio/ac3/aac/heaac,23.97/24/25/29.97/30/47.94/48/50/59.94/60
#,INZ,[No],[input/standard],,,[Frequency],[TS-ID],,,,,,,,,[PCR-PID],[VIDEO-PID],[VIDEO-CO],[AUDIO-PID],[AUDIO-CO],[FRAMERATE]
